,rule_title,rule_text
2087,"Iannucci, Armando",
2088,ice age,
2089,ice-cream,
2090,Icelandic names,"Icelandic people are referred to by their first names on second mention eg the former prime minister Jóhanna Sigurðardóttir, then Jóhanna thereafter. This is because last names are typically patronymic, indicating the person is the son or daughter of the father, and are not, like most western last names, an indication of family lineage eg Jóhanna Sigurðardóttir is Jóhanna, the daughter (dóttir) of Sigurðar Egill Ingimundarson. There are occasional exceptions to this so it is always worth checking."
2091,iconic,"in danger of losing all meaning after an average three appearances a day in the Guardian and Observer, employed to describe anything vaguely memorable or well-known – from hairdressers, storm drains in Los Angeles and the Ferrero Rocher TV ads to Weetabix, the red kite and the cut above the eye David Beckham sustained after being hit by a flying boot kicked by Sir Alex Ferguson. Our advice, even if our own writers rarely follow it, is to show a little more thought, and restraint, in using this term"
2092,icons,"A selection of the things described in the Guardian as “iconic” in a heady fortnight in 2010: Archaeopteryx bluefin tuna Castro’s cigar David Beckham wearing an anti-Glazer scarf Grace Kelly in casual wear Imperial War Museum Nigel Slater Mad Men Variety the John Hughes films Breakfast Club, Ferris Bueller’s Day Off and Weird Science Shepard Fairey’s Obama Hope design the parliamentary constituency of Hove Brandenburg Gate Bach’s St Matthew Passiona community-owned wind turbine Kraft cheese slices salmon farming the blue and white stripes of Cornishware pottery Penarth Pavilion, Cardiff the Norwegian church and Pierhead Building in Cardiff Bay a multimillion-pound arena in Leeds a “rock-built engine house at Bottalack near St Just” the Royal Albert Hallwind turbines (“iconic renewable energy technology”) Wembley Arena the video for Kylie Minogue’s Can’t Get You Out of My Head"
2093,ID cards,"now “consigned to history”, at least in the UK"
2094,Identitarian Movement,"uppercase for the particular far-right organisation in Austria known in German as Identitäre Bewegung Österreich , but use lowercase if you are referring in broader terms to identitarianism or identitarians"
2095,ie,"no full points or commas, ie like this"
2096,if not,"can be ambiguous: does “it is the most beautiful castle in France, if not the whole of Europe” mean “and maybe in the whole of Europe” or “but not in the whole of Europe”?"
2097,Igbo,"not Ibo, for the ethnic group in Nigeria"
2098,IJ,"If a Dutch word starts with IJ then both letters are always capped (there is a waterway called the IJ so a lot of places have IJ in their name, eg IJsselmeer, IJmuiden, etc)"
2099,illegitimate,"should not be used to refer to children born outside marriage (unless in a historical context, eg “the illegitimate son of Charles the Good”)"
2100,I’m a Celebrity,… Get Me Out of Here!
2101,"iMac, iPad, iPhone, iPod, iTunes","The trend for sticking an “i” in front of new products to make them seem whizzy began in 1997, when Ken Segall, a creative director at Apple, came up with the iMac name when the computer was in development. “The i meant internet,” Segall says. “But it also meant individual, imaginative and all the other things it came to stand for.” Apple’s founder, Steve Jobs, initially pooh-poohed the name"
2102,Imax,"cinemas, so named in 1968"
2103,immaculate conception,has nothing to do with the birth of Jesus: it is the doctrine that Mary herself was conceived by her mother (St Anne) without the stain of original sin. The virgin birth is the doctrine of Christ’s birth without a human father. This is one of our most frequent errors
2104,immigrate,"to arrive in a country; emigrate to leave one Hence immigrant, immigration, emigrant, emigration"
2105,Immigration and Nationality Directorate,may be called “the immigration service”
2106,immune to,not immune from
2107,impact,"is best used as a noun, not a verb: “could potentially impact” is more eloquently and concisely expressed as “might affect”; affect or have an effect on are invariably preferable to “impact” or “impact on”"
2108,impacted,a tooth
2109,Imperial College London,(no commas) is no longer part of the University of London
2110,"impinge, impinging",
2111,imply or infer?,"To imply is to suggest; to infer is to conclude.

Homer: “What are you inferring?” Lisa: “I’m not inferring anything. You infer; I imply.” Homer: “Well that’s a relief.”

Many people use infer when they mean imply, and they are in good company: Milton, Sir Walter Scott and Mervyn Peake in Titus Groan all did it

"
2112,impostor,not imposter
2113,impracticable or impractical?,"Reference books typically define the former as “not practical”, and the latter as “not able to be done”. In other words: for all practical purposes, they mean the same thing; use impractical, as it’s shorter"
2114,"impressionism, impressionist",painting
2115,in,can lead to ambiguous headline constructions such as “Marconi chief in board clearout” – is the chief clearing out the board or being cleared out with them?
2116,in or on?,"in the team (UK), on the team (US). The once widely used “in Oxford Street”, “in the high street” etc appear to have been largely supplanted in recent years by on Oxford Street, on the high street, etc"
2117,in/out referendum,
2118,inadmissible,not -able
2119,“incel”,"use sparingly, and in quotes at first mention"
2120,inchoate,"Nothing to do with chaos, it means newly formed, whether describing someone’s literary skills or the universe shortly after the big bang"
2121,incidence,"frequency or amount, eg a high incidence of incidents"
2122,incident,"has political connotations, so attack or clash is often preferable; within a couple of years of the massacre in Tiananmen Square the Chinese government was referring to it as an “incident” or even “alleged incident”"
2123,"income support, income tax",lowercase
2124,independent inquiry into child sexual abuse (IICSA),
2125,Independent Office for Police Conduct,the new name for the Independent Police Complaints Commission
2126,index,"plural indexes , except for scientific and economic indices"
2127,Indian ink,in the UK; India ink in the US
2128,india rubber,
2129,Indian placenames,"Bombay is now known as Mumbai , Madras is now Chennai , Calcutta is now Kolkata and Allahabad is now Prayagraj (though make clear it was formerly Allahabad until the new name is more widely known)"
2130,indie,"music, films, etc; Indy abbreviation for the Indy 500 car race and the Independent, a newspaper (now online only)"
2131,Indigenous,"uppercase I for people, but indigenous for flora and fauna"
2132,Indigenous Australians,the preferred term for Aboriginal and Torres Strait Islander people
2133,Indigenous people in Canada,"the preferred term for Canada’s Aboriginal people. Avoid the terms Indigenous Canadians and Indians, and where relevant be specific about an individual’s First Nations, Inuit or Métis heritage"
2134,indispensable,not indispensible
2135,Industrial Revolution,
2136,industrial tribunals,"have not existed since 1998, when they became employment tribunals; they still appear in the pages of the paper with embarrassing frequency despite regular corrections from the readers’ editor"
2137,infer or imply?,to infer is to deduce something from evidence; to imply is to hint at something (and wait for someone to infer it)
2138,infinite,"means without limit, not just “very big”"
2139,infinitives,See split infinitives
2140,inflammable,"means the same as flammable , which we prefer; the negative is non-flammable"
2141,inflammatory,"speeches, etc"
2142,information commissioner,but Information Commissioner’s Office
2143,initials,"no spaces or points, whether businesses or individuals, eg WH Smith, AJ Strauss"
2144,injunction,"the verb is enjoin , not “injunct”"
2145,Inland Revenue,See Revenue & Customs
2146,inner city,"noun two words, adjective hyphenated: inner-city blues made Marvin Gaye wanna holler"
2147,innocent civilians,the adjective is superfluous
2148,innocuous,
2149,innuendo,plural innuendoes
2150,inoculate,not innoculate
2151,inpatient,but in-tray
2152,inquiry,not enquiry
2153,inshallah,means “God willing” in Arabic
2154,insidious or invidious?,"The former means subtly or gradually harmful (“an insidious disease”); easily confused with the latter, which means likely to arouse resentment (“she put herself in an invidious position”)"
2155,insignia,are plural
2156,insisted,"overused, especially in political reporting, perhaps to imply that you don’t believe the speaker; “said” should normally suffice"
2157,"install, instalment",
2158,"instil, instilled, instilling",
2159,Institute for Fiscal Studies,
2160,Institute for Government,not “Institute of Government”
2161,Institute for Public Policy Research,
2162,insure,against risk; assure life; ensure make certain
2163,"insurgents, insurgency",See terrorism/terrorists
2164,intense,"extreme; intensive thorough “The search, which aroused intense opposition from local people, was intensive”"
2165,Intergovernmental Panel on Climate Change,
2166,International Atomic Energy Agency,not Authority; abbreviate to IAEA after first mention
2167,International Campaign to Abolish Nuclear Weapons,"Ican, not ICAN"
2168,international date line,
2169,International Institute for Strategic Studies,
2170,International Space Station (ISS),
2171,international sport,a French midfielder (for example) has French nationality; a France midfielder plays for France
2172,International Union for Conservation of Nature,IUCN after first mention; formerly the World Conservation Union
2173,interned,"imprisoned; interred buried (yes, we have got them confused)"
2174,internet,"net, web, world wide web See websites"
2175,Internet of Things,"abbreviation IoT; also known, but less widely, as Internet of Everything"
2176,Interpol,International Criminal Police Organisation (and a New York band)
2177,interpreter,"works with the spoken word; often confused with translator , who works with the written word"
2178,Interrail,
2179,intifada,
2180,into or in to?,"If you go into a room or look into something, it’s one word; if you call in to complain, listen in to someone’s conversation, or go in to see them, it’s two.



On to is two words See on to"
2181,introducing people,"Do not use the following construction to introduce a speaker or a subject: “Foreign secretary Philip Hammond said ... ” Use the definite article and commas to separate the job from the name, like this: “Philip Hammond, the foreign secretary ... ” (there is only one person with this specific post).

Commas are not used if the description is more general and could apply to more than one person, like this: “The health minister Norman Lamb said ... ” (there are several health ministers); or like this: “The Liberal Democrat MP Norman Lamb said ... ” (after the 2010 election, there were 57).

Another example: “Michael Billington, the Guardian’s theatre critic, gave his verdict ... ” is correct; “The theatre critic Michael Billington gave his verdict ... ” is fine as well"
2182,introductory words,"at the start of a sentence such as “However”, “Nonetheless”, “Instead”, should be followed by a comma"
2183,Inuit,not Eskimos; an individual is an Inuk
2184,invalid,means not valid or of no worth; do not use to refer to disabled or ill people
2185,"invariable, invariably",unchanging; often used wrongly to mean hardly ever changing
2186,inveigh,attack; inveigle coax “Labour MPs inveighed against Tony Blair for inveigling them into the plan to invade Iraq”
2187,invitation,noun
2188,invite,verb; so you do not send someone an “invite”
2189,"iPad, iTunes",
2190,IPCC,the Intergovernmental Panel on Climate Change
2191,"iPhone 6S, iPhone 6C","plural 6Ss, 6Cs"
2192,iPod,only when you are sure it is an Apple iPod; the generic term is MP3 player or digital audio player
2193,Ipsos,pollsters. No longer called Ipsos Mori
2194,Iran,rather than “the Islamic republic”
2195,Iraqi placenames,"Amara, Baiji, Baghdad, Baquba, Basra, Diwaniya, Dohuk, Erbil, Falluja, Haditha, Hilla, Kerbala, Kirkuk, Kut, Mosul, Najaf, Nassiriya, Nineveh province, Ramadi, Rutba, Samarra, Samawa, Sulaimaniya, Tikrit (note that these transliterations do away with al- prefixes and the final H)"
2196,"Ireland, Republic of Ireland, the Irish republic",not Éire or southern Ireland or the south
2197,iridescent,one R
2198,the Irish famine,is preferable to the “Irish potato famine” to describe the period of mass starvation and disease in Ireland from 1845 to about 1851. The Great Famine and the Great Hunger are other preferable terms
2199,Irish Travellers,"initial caps, as they are recognised as a distinct ethnic group under race relations legislation"
2200,"iron age, iron curtain",
2201,"Ironbridge, Iron Bridge","The former, a village on the Severn in Shropshire, is home to the latter; they are part of the Ironbridge Gorge Unesco world heritage site"
2202,"ironic, ironically","Do not use when what you mean is strange, coincidental, paradoxical or amusing (if you mean them say so, or leave it up to the reader to decide). There are times when ironic is right but too often it is misused, as in this typical example from the paper: “Santini’s Tottenham won 2-0 at Nottingham Forest, ironic really with the north London club having a big interest in Forest’s Republic of Ireland midfielder Andy Reid...” (not that sport are the only, or biggest, offenders).

As Kingsley Amis put it: “The slightest and most banal coincidence or point of resemblance, or even just- perceptible absence of one, unworthy of a single grunt of interest, gets called ‘ironical’.” The idiotic “post-ironic”, which Amis would be glad he did not live to see, is banned"
2203,Is,as in dotting the Is and crossing the Ts
2204,Isa,"individual savings account, but no need to spell it out"
2205,-ise,"not -ize at end of word, eg maximise, synthesise (exception: capsize)"
2206,Islam,"means “submission to the will of God”.

Muslims should never be referred to as “Mohammedans”, as 19th-century writers did. It causes serious offence because they worship God, not the prophet Muhammad.

“Allah” is Arabic for “God”. Both words refer to the same concept: there is no major difference between God in the Old Testament and Allah in Islam. Therefore it makes sense to talk about “God” in an Islamic context and to use “Allah” in quotations or for literary effect.

The holy book of Islam is the Qur’an (not Koran)"
2207,Islamic,a synonym for the Muslim religion when used as an adjective eg Islamic art. It should not be used to describe people.
2208,Islamic State,"at first mention, thereafter IS . The group was originally al-Qaida in Iraq. Also, Islamic State Khorasan Province ( ISKP)"
2209,Islamist,"A person who believes in Islamism, ie, the organisation of government and society in accordance with laws prescribed by Islam. For example, the Justice and Development party (AKP) in Turkey and the Muslim Brotherhood in Egypt are Islamist parties; Islamic State and al-Qaida are Islamist groups, and their members are Islamist militants/fighters/terrorists."
2210,Islamophobia,
2211,Isles of Scilly,"an alternative is Scilly, but not Scilly Isles"
2212,isotopes,"Do not abbreviate, eg carbon-14, uranium-235 (not U235, U-235, etc)"
2213,Israel Defense Forces,IDF after first mention
2214,issue,not a synonym for problem (“she has stylebook issues”)
2215,Italian royalty,"Since the Italian monarchy was abolished through a referendum in 1946, we should not use titles such as king, queen, prince, and princess, even where descendants of the aristocracy continue to do so.

However, the Italian constitution allows the use of nobiliary particles acquired before 1922 as part of the surname. For example, the grandson of King Umberto II is named Emanuele Filiberto di Savoia, where “Di Savoia” is his surname. Other examples include Luca Cordero di Montezemolo (a businessman), referred to as Cordero di Montezemolo on second mention"
2216,italics,"Use roman for titles of books, films, etc; the only exceptions are the Review and the Observer, which by special dispensation are allowed to ignore the generally sound advice of George Bernard Shaw:

“1. I was reading The Merchant of Venice. 2. I was reading ‘The Merchant of Venice’. 3. I was reading The Merchant of Venice . The man who cannot see that No 1 is the best-looking, as well as the sufficient and sensible form, should print or write nothing but advertisements for lost dogs or ironmongers’ catalogues: literature is not for him to meddle with.”

Use italics for foreign words and phrases (with roman translation in brackets); poetry and scientific names.

Never use italics in headlines or standfirsts"
2217,it’s,"shortened form of it is or has: it’s a big dog, it’s been ages since I saw her"
2218,its,possessive form of it: the dog is eating its bone
2219,"ITV, ITV1, ITV2, ITV3, ITV4",
2220,Ivory Coast,not “the Ivory Coast” or Côte d’Ivoire; its nationals are Ivorians
2221,Ivy League universities,"Brown, Columbia, Cornell, Dartmouth College, Harvard, Princeton, University of Pennsylvania, Yale"
2222,Izz ad-Din al-Qassam,military wing of Hamas
2223,J,joules; kJ kilojoules
2224,Jack Daniel’s,"note apostrophe; technically it is a Tennessee whiskey, not a bourbon"
2225,jack-in-the-box,but jack of all trades
2226,jack russell,terrier first bred by the Rev John Russell in the early 19th century
2227,Jacuzzi,"TM; named after its US inventors, Roy and Candido Jacuzzi; call it a whirlpool bath unless you’re sure it really is a Jacuzzi"
2228,jail,"not gaol (inexplicably, the Guardian persisted with this style well into the 1980s, long after everyone else had changed)"
2229,Jalalabad,city in Afghanistan; Jalal-Abad is in Kyrgyzstan
2230,Jamaican Patois,
2231,Janjaweed,Sudanese militia; it means “man with a gun on a horse”
2232,January 6,"Contrary to our usual style for dates, you can use this or, for example, “the January 6 attack” to refer to the storming of the US Capitol in 2021"
2233,jargon,"Originally jargon was “the inarticulate utterance of birds, or a vocal sound resembling it; twittering, chattering”.

The modern sense – defined as “mode of speech abounding in unfamiliar terms, or peculiar to a particular set of persons, as the language of scholars or philosophers, the terminology of a science or art, or the cant of a class, sect, trade, or profession” (OED) – dates from the 17th century.

Bill Bryson describes jargon thus: “The practice of never calling a spade a spade when you might instead call it a manual earth-restructuring implement”"
2234,Jay-Z,No longer Jay Z
2235,JCDecaux,"sells outdoor advertising space, but has no spaces in its name"
2236,Jeep,TM
2237,Jehovah’s Witness,
2238,jejune,"naive or unsophisticated, not necessarily anything to do with youth. Although jeune means young in French, jejune is derived from the Latin for fasting and originally meant deficient or scanty. The OED’s first listing of it in the modern sense is from George Bernard Shaw’s Arms and the Man, published in 1898

jeune"
2239,jellaba,"loose cloak with a hood, worn especially in north Africa and the Middle East"
2240,Jerez,
2241,jerry-builder,
2242,Jerusalem,"should not be referred to as the capital of Israel: it is not recognised as such by the international community. While the Knesset has designated the city as the country’s capital, a UN resolution of 1980 declared this status “null and void”. Jerusalem is the seat of government and Tel Aviv is the country’s diplomatic and financial centre"
2243,jerusalem artichoke,nothing to do with Jerusalem: this jerusalem comes from the Italian for sunflower
2244,jetski,
2245,jewellery,"in British English, not jewelry"
2246,jib,triangular sail or arm of a crane; “I don’t like the cut of his jib” means you don’t like the look or manner of someone
2247,jibe,(not gibe) taunt
2248,jihad,"Used by Muslims to describe three different kinds of struggle: an individual’s internal struggle to live out the Muslim faith as well as possible; the struggle to build a good Muslim society; and the struggle to defend Islam, with force if necessary"
2249,jihadi,"noun (plural jihadis) and adjective

Only use this term in the most general sense to apply to a Muslim pursuing jihad, in particular the first two kinds of struggle. If referring to the third struggle, jihadist is preferable (see below)."
2250,jihadist,"noun and adjective

A person who believes in jihadism, ie, the fundamentalist pursuit of violent jihads to defend the Islamic faith. It can be used to refer to members of formal organisations, such as Islamic State or al-Qaida, as well as those who are not. For example, the Charlie Hebdo killers or Woolwich murderers would be referred to as jihadist terrorists."
2251,jobcentres,are run by Jobcentre Plus
2252,jobseeker’s allowance,
2253,job titles,"are all lc: editor of the Guardian, governor of the Bank of England, prime minister, etc"
2254,jodhpurs,
2255,"Joe Public, John Doe",
2256,"Johansson, Scarlett",
2257,john dory,fish
2258,John o’Groats,although the local newspaper is the John O’Groat Journal
2259,Johns Hopkins University,not John Hopkins
2260,jokey,not joky
2261,"Jolie, Angelina","Angelina Jolie and Brad Pitt (“Brangelina” only when quoting someone) have six children, all of whom have the surname Jolie-Pitt. Their charitable foundation is the Jolie-Pitt Foundation (originally the Maddox Jolie-Pitt Foundation, after one of the children)"
2262,Joneses,as in keeping up with the Joneses; also note the Joneses’ house (not the Jones’ house)
2263,"Jonsson, Ulrika",
2264,JP Morgan,but its parent company is styled as JPMorgan Chase
2265,jpeg,
2266,jubilee,"diamond jubilee, etc"
2267,judgment,Try to resist the temptation to add the word “call”
2268,judges,"in England and Wales have different titles according to the courts in which they work.

Courts below the high court: Judge Smith, Judge Brown; thereafter Smith, Brown

High court: Mr Justice Smith, Ms or Mrs Justice Brown; thereafter Smith, Brown

Court of appeal: Lord Justice Smith, Lady Justice Brown; thereafter Smith, Brown

Supreme court: Lord Smith, Lady Brown, thereafter Smith, Brown

If a judge appears in a court higher or lower than the one in which they usually work they retain their existing title, eg if Lady Justice Brown of the appeal court appears in the supreme court she does not become Lady Brown; likewise, if she appears in the high court she does not become Ms or Mrs Justice Brown. If the honorific of a female high court judge cannot be ascertained, use Ms.

In Scotland, judges are always Lord or Lady. So Lord Smith, Lady Brown. Sheriffs’ first names are given at first mention, so Sheriff Robert Smith, thereafter Smith.​"
2269,7 July 2005,"The London suicide bombings may be referred to as 7/7 in headlines; the bombers were Hasib Hussain, Mohammad Sidique Khan, Germaine Lindsay and Shehzad Tanweer"
2270,jumbo jet,but jump-jet
2271,the “Jungle”,"Refer to it as the Calais refugee camp instead. While the “Jungle” is recognised as the camp’s name, it is a derogatory term so its use should be limited"
2272,junior,"abbreviate to Jr not Jun or Jnr, eg Sammy Davis Jr"
2273,just deserts,"not just desserts, unless you are saying you only want pudding"
2274,juvenile,"the Criminal Justice Act 1991 replaced this term with “youth”, and raised the age at which you cease to be one from 17 to 18"
2275,Ka’bah,cube-shaped shrine in the centre of the great mosque in Mecca towards which all Muslims face in prayer; the shrine is not worshipped but used as the focal point of the worship of God
2276,Kabbalah,
2277,Kadazan-Dusun,"two culturally linked indigenous peoples in Sabah, Malaysia; Kadazandusun their language"
2278,kaffir lime,"use makrut lime instead; note that it is makrut and not, as Wikipedia has it, makrud. Used in south-east Asian cooking and to flavour drinks"
2279,kafir,derogatory Arabic term for infidel or unbeliever; the plural is kuffar
2280,Kaiser Chiefs,band from Leeds (no “the”); Kaizer Chiefs football club from Soweto
2281,Kaiser Wilhelm II,last German emperor and king of Prussia
2282,Kajagoogoo,80s band best known for their silly haircuts and No 1 hit Too Shy. The never-ending story resumed in 2009 when they reformed for a tour
2283,Kaká,Brazilian footballer
2284,Kanye West,"is fine for your headline and first mention, but please then note that he has changed his name to Ye and thereafter call him Ye"
2285,kapok,
2286,Kara Suu,(not Korasuv) town in Uzbekistan
2287,Kashmir,adjective Kashmiri ; but cashmere fabric
2288,"Kasparov, Garry","former world chess champion, born in Azerbaijan in 1963"
2289,Kathmandu,capital of Nepal
2290,Kazakhstan,"noun, Kazakhstani adjective. Kazakh refers to a particular ethnic group in Kazakhstan and elsewhere, and a language"
2291,KC,king’s counsel. One of those lawyers who were for so long known as QCs
2292,kebabs,a doner kebab is made using meat from a rotating spit; shish kebabs are made from skewered cubes of meat
2293,"Keir Hardie, James",(1856-1915) first leader of the Labour party
2294,Kellogg’s Corn Flakes,but cornflakes in general
2295,"Kentish man, Kentish maid","born west of the river Medway; man of Kent , maid of Kent born east of the river Medway"
2296,key,"a useful headline word, but overused"
2297,Keynes,"If you need to pronounce them, John Maynard Keynes is Kaynz , Milton Keynes is Keenz

Kaynz

Keenz"
2298,keyring,
2299,"key stage 1, 2",etc (education)
2300,keywords,"used when searching for a specific item on the web: for example, putting the keywords “guardian” and “styleguide” into Google will help a user find the Guardian style guide online"
2301,KFC,not Kentucky Fried Chicken
2302,K-For,"stands for Kosovo Force, the Nato peacekeepers who entered Kosovo in June 1999 (and were still there 15 years later)"
2303,"Khachaturian, Aram",(1903-78) Armenian composer
2304,Khartoum,
2305,khaki,
2306,Khan Younis,"not Khan Yunis, for the city in Gaza"
2307,khat,not qat
2308,"Khrushchev, Nikita",(1894-1971) Soviet leader
2309,Khyber Pakhtunkhwa,"one of the four provinces of Pakistan, formerly known as North-West Frontier province"
2310,kibbutz,"plural kibbutzim . Kibbutzim are intentional communities (not always farms). The Be’eri kibbutz (for example) is preferred, with lowercase k, to Kibbutz Be’eri"
2311,kibosh,
2312,kick-off,noun; kick off verb
2313,kickstart,noun or verb
2314,Kilimanjaro,not Mount Kilimanjaro
2315,"kilograms, kilojoules, kilometres, kilowatts","abbreviate as kg , kJ , km , kW"
2316,kilowatt hours,abbreviate like this: 10kWh
2317,Kim Keon Hee,the South Korean first lady
2318,King Charles III,"or King Charles at first mention, thereafter King Charles, the king or Charles. If it is necessary to say so, he is his majesty or HM, never HRH"
2319,King Edward,potatoes
2320,king’s birthday honours list,
2321,"King’s College, Cambridge",comma
2322,King’s College London,no comma
2323,King’s Cross,London
2324,Kings Cross,Sydney
2325,King’s Lynn,
2326,Kings Place,"home of the Guardian, Observer and theguardian.com; a building in King’s Cross, north London (it wasn’t our idea to leave out the apostrophe)"
2327,Kings Road,"a road in Chelsea, west London; try not to call it “the Kings Road”; no apostrophe, although until 1830 it was a private royal road"
2328,king’s speech,
2329,Kingston upon Hull,normally just Hull
2330,Kingston upon Thames,
2331,Kirkcaldy,"not Kirkaldy, a town in Fife , not Fyfe"
2332,kir royal,
2333,kiss’n’tell,
2334,kissogram,
2335,Kitemark,TM on items approved by the British Standards Institution
2336,KitKat,"chocolate; there is a KitKatClub in Berlin, named after the fictional Kit Kat Klub in the musical Cabaret"
2337,kiwifruit,"sometimes called kiwis, which are not the same as Kiwis (see entry below)"
2338,Kiwis,"New Zealanders or New Zealand people is preferable, unless quoting people or referring to the New Zealand rugby league team, who are called the Kiwis. The plural of the native bird is Kiwi"
2339,KLF,"the KLF (thought to stand for “Kopyright Liberation Front”) are perhaps best known for burning £1m and deleting their entire back catalogue. They also recorded as the Justified Ancients of Mu Mu and the Timelords, who had a No 1 hit with Doctorin’ the Tardis"
2340,km/h,kilometres an hour (not kph)
2341,kneejerk,reaction
2342,knell or knoll?,"A knell is the sound of a bell, hence “death knell”. A bell can be knelled, as well as tolled. A knoll is a small hill, not necessarily grassy"
2343,knife-edge,
2344,"Knightley, Keira",
2345,knockout,noun; knock out verb
2346,knots,measure of nautical miles per hour; do not say knots per hour
2347,knowhow,
2348,knowledgable,
2349,koala,not koala bear
2350,Koh-i-noor,diamond
2351,koi,not “koi carp”
2352,Kolkata,formerly Calcutta
2353,Korea,It’s fine to call North Korea and South Korea “the North” and “the South” in stories about both; Pyongyang and Seoul are useful alternatives
2354,Korean names,"like Hong Kong and Taiwanese names, Korean names are generally written in two parts with a hyphen, eg Kim Jong-il, Kim Dae-jung; on second mention they become Kim, etc (except in leading articles: Mr Kim, etc). Some people, however, notably the president and first lady, Yoon Suk Yeol and Kim Keon Hee (Yoon and Kim on second mention), prefer to do away with the hyphen. We should follow people’s personal preferences when we know of them"
2355,"Kosovo, Kosovans","the adjective is Kosovan, not Kosovar"
2356,kowtow,
2357,Krajina,not the Krajina
2358,"Krakatoa, East of Java","Despite this 1969 film title, note that Krakatoa is, in fact, west of Java. (Unless you go round the – very – long way)"
2359,krav maga,lc; form of combat/self-defence
2360,krona,plural kronor (Sweden); krona plural kronur (Iceland); krone plural kroner (Denmark); krone plural kroner (Norway)
2361,krugerrands,
2362,Ku Klux Klan,
2363,kukri,Gurkha knife
2364,kung fu,
2365,KwaZulu-Natal,
2366,Kwik Fit,
2367,Kyiv,not Kiev; but chicken kiev
2368,Kyrgyzstan,adjective Kyrgyz
2369,Kyrie Eleison,
2370,laager,South African encampment; lager beer
2371,labour movement,
2372,Labour party,
2373,La Coruña,Spanish port
2374,Lady Gaga,remains Lady Gaga on second and subsequent mentions
2375,Lady Macbeth of Mtsensk,"Shostakovich opera, usually misspelt in the Guardian as Mtensk, with occasional variations such as Mtsenk"
2376,Lady Thatcher,(and other ladies) not Baroness
2377,lag,pipes are lagged; other things lag behind
2378,LaGuardia,New York airport
2379,Lai Ching-te,vice-president of Taiwan. You can mention that he is sometimes also known as William Lai
2380,laid-back,"He is laid-back, she is a laid-back boss"
2381,Lailat al-Miraj,"Islamic holy day; Lailat al-Qadr Islamic holy day, time for study and prayer"
2382,laissez-faire,not laisser
2383,Lake District,"or the Lakes or Lakeland . Note that, with the exception of Bassenthwaite Lake, bodies of water in the Lake District do not have “lake” in their names (eg Buttermere, Derwent Water, Ullswater, Windermere)"
2384,lakes,"capital L: Lake Baikal, Lake Erie, etc"
2385,"lamb’s lettuce, lamb’s wool",
2386,lamp-post,
2387,lance corporal,
2388,Land,"state of the Federal German Republic: we normally call them states, eg “the German state of Hesse”"
2389,landmark,"overused as an adjective, randomly strewn through stories, perhaps as an alternative to flagship"
2390,landmine,
2391,Land Registry,government department that registers title to land in England and Wales; the Scottish equivalent is Registers of Scotland
2392,Land Rover,
2393,Land’s End,but the clothing firm is Lands’ End
2394,kd lang,Canadian singer
2395,Laos,officially the Lao People’s Democratic Republic; the language is Lao
2396,"lapdancer, lapdancing",
2397,Lappland,"the northernmost province of Sweden. Finland has a county called Lapland. However, do not use the name to refer to the cultural region of the Indigenous Sami people, which extends across national boundaries and they call Sápmi. It is considered offensive. Please reserve the terms Lappland/Lapland to refer, where necessary, to those exact regions in Sweden and Finland and not to the wider area"
2398,laptop,
2399,La Rambla,preferable to Las Ramblas
2400,Large Hadron Collider,Take great care over the spelling of Hadron
2401,largesse,
2402,larva,"(plural larvae ) insects; lava volcanic magma, lamp; laverbread cooked seaweed"
2403,"La’s, the",defunct Liverpool rock band; keep apostrophe (abbreviation for Lads)
2404,lasagne,
2405,laser,"word dating from 1960 formed from the phrase “light amplification by stimulated emission of radiation”, and an example of why not all acronyms need to be capped up"
2406,lasso,noun (plural lassos ) and verb: you lasso a horse with a lasso
2407,last or past?,"interchangeable in such phrases as “six times in the last week”, “twice in the past year”.

But last means “most recent” in this sentence: “United have beaten Wednesday five times in their last six meetings” whereas past refers to the past as a whole in this sentence: “United have beaten Wednesday five times in their past six meetings” (suggesting they have only ever played each other six times)"
2408,Last Night of the Proms,
2409,last post,
2410,last rites,"are given, not “read” (although someone might read you your rights if you were being arrested)"
2411,later,often redundant as context will inform the reader: “They will meet this month” rather than “They will meet later this month”
2412,late-term abortion,"is a medically inaccurate term. Use later abortion or second- or third-trimester abortion instead, or put it in quote marks if quoting someone."
2413,Sheikha Latifa bint Mohammed bin Rashid al-Maktoum,"if writing out in full, or Sheikha Latifa bint Mohammed al-Maktoum. Princess Latifa is sufficient in furniture and on first mention, followed by Latifa on subsequent mentions"
2414,Latin,"“Away with him! Away with him! He speaks Latin” (Shakespeare, Henry VI Part 2)

Some people object to, say, the use of “decimate” to mean destroy on the grounds that in ancient Rome it meant to kill every 10th man; some of them are also likely to complain about so-called split infinitives, a prejudice that goes back to 19th-century Latin teachers who argued that as you can’t split infinitives in Latin (they are one word) you shouldn’t separate “to” from the verb in English. Others might even get upset about our alleged misuse of grammatical “case” (including cases such as dative and genitive that no longer exist in English).

As our publications are written in English, rather than Latin, do not worry about any of this even slightly"
2415,Latino/Latina,"someone from Latin America. Latinx, a gender-neutral alternative, is not widely accepted and we should only use it if an individual or organisation prefers to identify themselves that way"
2416,latitude,like this: 21 deg 14 min S
